ORIGINAL_NAME
"Polymixia nobilis Lowe, 1838"
"Beryx decadactylus Cuvier, 1829"
"Zenopsis  conchifer (Lowe, 1852)"
"Capros aper (Linnaeus, 1758)"
"Antigonia capros Lowe, 1843"
"Grammicolepis brachiusculus Poey, 1873"
"Anthias anthias (Linnaeus, 1758)"
"Callanthias ruber (Rafinesque, 1810)"
"Epigonus telescopus (Risso, 1810)"
"Trachurus  picturatus (Bowdich, 1825)"
"Scomber japonicus Houttuyn, 1782"
"Scombrolabrax heterolepis Roule, 1921"
"Promethichthys prometheus (Cuvier, 1832)"
"Lepidopus caudatus (Euphrasen, 1788)"
"Aphanopus carbo Lowe, 1839"
"Callionymus phaeton Gunther, 1861"
"Bellottia apoda Giglioli, 1883"
"Echiodon dentatus (Cuvier, 1829)"
"Pontinus kuhlii (Bowdich, 1825)"
"Helicolenus dactylopterus (Delaroche, 1809)"
"Setarches guentheri Johnson, 1862"
"Lepidorhombus boscii (Risso, 1810)"
"Arnoglossus imperialis (Rafinesque, 1810)"
"Arnoglossus rueppelli (Cocco, 1844)"
"Chaunax pictus Lowe, 1846"
Raja sp.
"Conger conger (Linnaeus, 1758)"
"Lappanella fasciata (Cocco, 1833)"
"Scorpaena loppei Cadenat, 1943"
Abyssoniscus sp.
Acanthogorgia spp.
"Acantholatris gayi (Kner, 1865)"
Aega spp.
"Aldrovandia affinis (Gunther, 1877)"
Alepocephalus sp.
"Alpheus romensky Burukovsky, 1990"
"Altiverruca mollae Zevina, 1990"
Amphiophiura sp.
Anaitides spp.
"Anatolanthias apiomycter Anderson, Parin and Randall, 1990"
"Antigonia aurorosea Parin and Borodulina, 1986"
"Antimora rostrata (Günther, 1878)"
"Aphanopus capricornis Parin, 1994"
"Aphorme horrida Schulze, 1889"
"Argyripnus electronus Parin, 1992"
Ariomma luridum Jordan and Snyder
"Aristeomorpha foliacea (Risso, 1827)"
"Arnoglossus multirastris Parin, 1983"
Aspidodiadema sp. nov. 1
Aspidodiadema sp. 2
"Assurger anzac (Alexander, 1917)"
Asteroschema sp.
Astropecten sp. 1
Astropecten sp. 2
"Astropecten aff. ornatissimus Fisher, 1906"
Astrophiura sp.
Ateleopus sp.
Austroniscus sp.1 and 2
Austrosignum spp.
Baenectes spp.
"Balanus nascanus Zullo, 1964"
Bassanago nielseni Karmovskaya
Bathygnathia spp.
Bathypathes spp.
"Bathypterois atricolor Alcock, 1896"
"Bathysaurus ferox Gunther, 1878"
"Bathytroctes oligolepis (Krefft, 1970)"
"Bembradium roseum Gilbert, 1905"
"Benthesicymus investigatoris Alcock and Anderson, 1899"
"Benthodesmus elongatus (Clarke, 1879)"
"Benthomangelia brevis Sysoev and Ivanov, 1985"
"Beryx splendens Lowe, 1834"
Betamorpha spp.
"Bivalvopagurus sinensis (de Saint-Laurent, 1972)"
Brisinga eucoryne Fisher
Brisingella sp. nov.
"Caelorinchus immaculatus Sazonov and Iwamoto, 1992"
"Caelorinchus multifasciatus Sazonov and Iwamoto, 1992"
"Caelorinchus nazcaensis Sazonov and Iwamoto, 1992"
"Caelorinchus spilonotus Sazonov and Iwamoto, 1992"
Caenopedina sp. nov.
"Callanthias parini Anderson and Johnson, 1984"
"Cancer balssii Zarenkov, 1990"
"Caprodon Iongimanus (Gunther, 1859)"
"Centrodraco striatus (Parin, 1982)"
"Centroscymnus owstoni Garman, 1906"
Ceramaster sp.
"Cetonurus crassiceps (Gunther, 1878)"
"Chaceon chilensis Chirino-Galvez and Manning, 1989"
"Chascanopsetta megagnatha Amaoka and Parin, 1990"
"Chaunax latipunctatus Le Danois, 1984"
Chloeia spp.
"Chlorophthalmus ichthyandri Kotlyar and Parin, 1986"
"Chlorophthalmus zvezdae Kotlyar and Parin, 1986"
"Chrionema pallidum Parin, 1990"
Cirripathes spp.
"Clypeaster isolatus Serafy, 1971"
Coelopleurus sp. nov. 1 (1265)
Coelopleurus sp. 2
"Conocara fiolenti Sazonov and Ivanov, 1979"
"Cookeolus japonicus (Cuvier, 1829)"
Coronaster sp.
Coryphaenoides paradoxus Smith and Radcliffe
"Cribrosoconcha elegans Krylova, 1991"
"Cribrosoconcha alephtinae Krylova, 1991"
Crysopetalum spp.
Curtipathes spp.
"Cuspidaria macrorhynchus E.A. Smith, 1895"
Cuspidaria sp. nov. (1265)
Cuspidaria sp.
"Cyclocaris tahitensis Stebbing, 1888"
"Cyttomimus stelgis Gilbert, 1905"
"Dactylopsaron dimorphicum Parin and Belyanina, 1990"
"Dallithyris murrayi Muir-Wood, 1959"
"Danoctopus cf. hoylei (Berry, 1909)"
"Daphnella ichthyandri Sysoev and Ivanov, 1985"
Decapterus muroadsi (Schlegel)
Deutroiton spp.
"Diaphus adenomus Gilbert, 1905"
"Diaphus confusus Becker, 1992"
"Diaphus parini Becker, 1992"
Dibranchus sp. nov. (1265) Bradbury
"Dicrolene nigra Garman, 1899"
Disconectes sp.
"Dromia dehaani Rathbun, 1923"
"Ebalia sculpta Zarenkov, 1990"
Echinimunna spp.
"Echinocyamus incertus H. L. Clark, 1914"
"Echinorhinus cookei Pietschmann, 1928"
Echinus sp.
Emmelichthys cyanescens Guichenot
"Emmelichthys elongatus Kotlyar, 1982"
Engyproposon cf. regani Hansley and Suzumoto
"Enigmapercis acutirostris Parin, 1990"
"Epigonus atherinoides (Gilbert, 1905)"
"Epigonus elegans Parin and Abramov, 1986"
"Epigonus notacanthus Parin and Abramov, 1986"
"Erythrocles scintillans (Jordan and Thompson, 1912)"
"Etmopterus litvinovi Parin and Kotlyar, 1990"
"Etmopterus lucifer Jordan and Snyder, 1902"
"Etmopterus pusillus (Lowe, 1839)"
"Etmopterus pycnolepis Kotlyar, 1990"
Eunice spp.
Euplectella sp.
"Eurete farreopsis Carter, 1877"
Eurycope spp.
"Eurypleuron cinereum (Smith, 1955)"
"Facciolella castlei Parin and Karmovskaya, 1985"
"Famelica nitida Sysoev, 1990"
"Gadella obscurus (Parin, 1984)"
Gadomus cf. melanopterus Gilbert
"Gaidropsarus parini Svetovidov, 1986"
"Glossanodon danieli Parin and Shcherbachev, 1982"
"Glossanodon nazca Parin and Shcherbachev, 1982"
"Glyphocrangon wagini Burukovsky, 1990"
Gnathia spp.
"Gnathophis andriashevi Karmovskaya, 1990"
"Gnathophis parini Karmovskaya, 1990"
Goniasteridae sp.
"Grammatonotus laysanus Gilbert, 1905"
"Gymnobela altispira Sysoev and Ivanov, 1985"
"Gymnobela brachypleura Sysoev, 1990"
"Gymnobela brunnistriata Sysoev, 1990"
"Gymnobela crassilirata Sysoev, 1990"
"Gymnobela laticaudata Sysoev, 1990"
"Gymnobela nivea Sysoev, 1990"
"Gymnobela rotundata Sysoev, 1990"
"Gymnobela turrispina Sysoev, 1990"
"Gymnobela chisticovi Sysoev and Ivanov, 1985"
"Gymnobela gracilis Sysoev, 1990"
"Gymnobela granulisculpturata Sysoev, 1990"
"Habrocidaris argentea Agassiz and Clark, 1907"
"Hadropenaeus lucasii (Bate, 1881)"
"Halargyreus johnsoni Gunther, 1862"
"Helicolenus lengerichi Norman, 1937"
Henricia spp.
"Heteralepas mysthacophora Newman, 1964"
"Heterocarpus fenneri (Crosnier, 1986)"
"Heterocarpus laevigatus Bate, 1888"
"Heterocarpus sibogae De Man, 1917"
"Heteroteuthis sp. nov. aff. dispar (1265) (Ruppell, 1845)"
"Hexanchus griseus (Bonnaterre, 1788)"
Hime macrops Kotlyar and Parin
Homolampas sp. nov. (1265)
"Homologenus orientalis Zarenkov, 1990"
"Hoplichthys citrinus Gilbert, 1905"
Hydrasterias sp.
Hydrolagus sp.
Hymenocephalus cf. aterrimus Gilbert
"Hymenocephalus neglectissimus Sazonov and Iwamoto, 1992"
"Hymenocephalus semipellucidus Sazonov and Iwamoto, 1992"
"Hymenocephalus striatulus Gilbert, 1905"
"Hymenopenaeus halli Bruce, 1966"
"Idiolychnus urolampus (Gilbert and Cramer, 1897)"
Ilyarachna sp.1 and 2
"Ilyophis blachei Saldanha and Merrett, 1982"
"Iridoteuthis sp. nov. aff. maoria (1265) Dell, 1959"
Jaeropsis spp.
"Kuronezumia pallida Sazonov and Iwamoto, 1992"
"Kuroshiodaphne phaeacme Sysoev, 1990"
"Laemonema yuvto Parin and Sazonov, 1990"
"Laemonema rhodochir Gilbert, 1905"
"Lampadena urophaos Paxton, 1963"
"Lampechinus nitidus nascaensisMarkov, 1989"
Lanice spp.
"Latreillia phalangium de Haan, 1835"
Leocrates spp.
"Lepidion guentheri (Giglioli, 1880)"
"Lepidocybium flavobrunneum (Smith, 1843)"
Leptochiton sp.
"Litoscalpellum piliferum Zevina, 1983"
"Lophiodes mutilus (Alcock, 1894)"
Luidia sp.
"Macrouroides inflaticeps Smith and Radcliffe, 1912"
"Macruronus magellanicus Lonnberg, 1907"
Marginaster sp.
"Mataeocephalus acipenserinus (Gilbert and Cramer, 1897)"
"Maurolicus rudjakovi Parin and Kobyliansky, 1993"
"Megalasma caudata Zevina, 1990"
"Megalasma elegans Newman, 1964"
Mesosignum spp.
"Metapenaeopsis stokmani Burukovsky, 1990"
"Metaverruca pallida Zevina, 1990"
"Metaverruca tarasovi Zevina, 1971"
Microthambema spp.
"Mitromorpha maculata Sysoev, 1990"
"Mollisquama parini Dolganov, 1984"
"Monocentris reedi Schultz, 1956"
"Multitentacula admirabilis Krylova, 1995"
Munnogonium spp.
"Muraenichthys profundorum (McCosker and Parin, 1995)"
"Mursia aspera Alcock, 1899"
"Mursia gaudichaudii H. Milne-Edwards, 1837"
"Naskia axiplicata Sysoev and Ivanov, 1985"
"Nematocarcinus undulatipes Bate, 1888"
Neocyttus rhomboidalis Gilbert
"Nesiarchus nasutus Johnson, 1862"
"Nettastoma falcinaris Parin and Karmovskaya, 1985"
"Nezumia convergens (Garman, 1899)"
"Nezumia propinqua (Gilbert and Cramer, 1897)"
"Notacanthus chemnitzi Bloch, 1788"
Nothria spp.
Notopogon fernandezianus (Dolfin)
"Nototodarus hawaiiensis (Berry, 1912)"
"Ophioleuce brevispina (H. L. Clark, 1911)"
Ophiomyces sp.
Ophiophyces sp.
"Ophiotholia multispina Koehler, 1904"
Ophiura spp. 1-5
Ophiurases sp.
"Orchomene montana Vinogradov and Vinogradov, 1991"
"Osopsaron karlik Parin, 1985"
"Oxynaspis michi Zevina, 1983"
"Pandalina nana Burukovsky, 1990"
Panetela spp.
"Parabothus amaokai Parin, 1983"
"Paralepas ichtiandri Zevina, 1983"
"Paralepas nascai Zevina, 1990"
"Paramola japonica Parisi, 1915"
Paramunna spp.
"Parapercis dockinsi McCosker, 1971"
"Pasiphaea flagellata Rathbun, 1906"
"Pasiphaea americana Faxon, 1893"
Pectinaster sp.
"Pelagodiscus atlanticus (King, 1868)"
"Pentaceros quinquespinis Parin and Kotlyar, 1988"
"Periclimenes alcocki Kemp, 1922"
Phalacrostemna spp.
"Phenacoscorpius eschmeyeri Parin and Mandrytsa, 1992"
"Pheronema naskaniensis Tabachnick, 1990"
Pholoe spp.
"Photostylus pycnopterus Beebe, 1933"
"Physiculus hexacytus Parin, 1984"
"Physiculus longicavis Parin, 1984"
"Physiculus parini Paulin, 1991"
"Physiculus sazonovi Paulin, 1991"
"Plagiogeneion geminatum Parin, 1991"
Physiculus sp.
"Plagiogeneion unispina Parin, 1991"
"Platidia anomoides (Scacchi and Philippi, 1884)"
"Plectranthias exsul Heemstra and Anderson, 1983"
"Plectranthias parini Anderson and Randall, 1991"
"Plectrogenium barsukovi Mandrytsa, 1992"
"Plesionika edwardsii (Brandt, 1851)"
"Plesionika ensis A. Milne-Edwards, 1881"
"Plesionika martia (A. Milne-Edwards, 1883)"
"Plesionika ocellus (Bate, 1888)"
Pleurocope spp.
Pleurogonium spp.
"Pleurotomella minuta Sysoev and Ivanov, 1985"
"Plinthaster aff. ceramoidea (Fisher, 1919)"
Plinthaster sp.
Podocidaris sp. nov. (1265)
"Poecilasma crassa Gray, 1848"
"Poecilasma kaempferi litumPilsbry, 1907"
"Polyipnus inermis Borodulina, 1981"
"Polymetme andriashevi Parin and Borodulina, 1990"
Polymixia salagomezensis Kotlyar
"Polymixia yuri Kotlyar, 1982"
Polynoidae sp. nov. (1265)
"Pontocaris rathbuni (de Man, 1918)"
"Pontophilus nikiforovi Burukovsky, 1990"
"Porcellanopagurus foresti Zarenkov, 1990"
"Processa pygmaea Burukovsky, 1990"
"Profundiconus smirna (Bartsch and Rehder, 1943)"
"Progeryon mararae Guinot and Richer de Forges, 1981"
"Projasus bahamondei Geroge, 1976"
"Pseudarchaster aff. pusillus Fisher, 1904"
"Pseudocetonurus septifer Sazonov and Shcherbachev, 1982"
"Pseudoplectella dentatum Tabachnick, 1990"
Pteraster sp.
"Pyramodon parini Markle and Olney, 1990"
"Pyrgocythara nodulosa Sysoev and Ivanov, 1985"
Radiella sp.
"Randallia nana Zarenkov, 1990"
"Regadrella peru Tabachnick, 1990"
"Rexea brevilineata Parin, 1989"
"Rexea antefurcata Parin, 1989"
"Rhinoclama similis Krylova, 1994"
"Rouleina attrita (Vaillant, 1888)"
"Ruvettus pretiosus Cocco, 1833"
"Sagamichthys abei Parr, 1953"
"Salenia scrippsae Zullo and Allison, 1964"
"Salenocidaris nudispina (Markov, 1988)"
"Samariscus cf. nielseni Quero, Hansley and Mauge,"
"Scaeurgus unicirrhus patagiatusBerry, 1913"
Schindleria praematurus (Schindler)
Sclerasterias sp.
"Scorpaena uncinata de Buen, 1961"
"Sepioloidea cf. pacifica (Kirk, 1882)"
"Septicollarina oceanica Zezina, 1990"
"Seriola lalandi Valenciennes, 1833"
Seriolella labirinthica (McAllister and Randall)
"Sicyonia nasica Burukovsky, 1990"
"Simenchelys parasitica Gill, 1879"
"Somniosus rostratus (Risso, 1827)"
"Sphyraenops bairdianus Poey, 1861"
"Spongicola parvispina Zarenkov, 1990"
"Squalogadus modificatus Gilbert and Hubbs, 1916"
"Squalus mitsukurii Jordan and Snyder, 1903"
Stenetrium spp.
"Stereocidaris nascaensis Allison, Durham and Mintz, 1967"
"Stethopristes eos Gilbert, 1905"
"Stoloteuthis sp. nov. aff. leucoptera (1265) (Verrill, 1878)"
"Stylodactylus pubescens Burukovsky, 1990"
Sympagurus africanus
"Sympagurus affinis (Henderson, 1888)"
"Sympagurus boletifer (de Saint-Laurent, 1972)"
"Sympagurus rectichela (Zarenkov, 1990)"
"Sympagurus ruticheles (A. Milne Edwards, 1891)"
"Sympagurus wallisi Lemaitre, 1994"
"Symphysanodon maunaloae Anderson, 1970"
"Synaphobranchus affinis Gunther, 1877"
Synodus cf. doaki Russel and Cressey
"Talismania  bussingi Sazonov, 1989"
Tamaria sp.
"Torpedo  microdiscus Parin and Kotlyar, 1985"
"Torpedo  semipelagica Parin and Kotlyar, 1985"
"Trachonurus  villosus (Gunther, 1877)"
"Trigonocidaris  albida A. Agassiz, 1???"
"Tripterophycis  svetovidovi Sazonov and Shcherbachev, 1986"
Trochus sp.
"Tromikosoma  hispidum Agassiz, 1898"
"Ventrifossa  johnboborum Iwamoto, 1982"
"Ventrifossa  macrodon Sazonov and Iwamoto, 1992"
"Ventrifossa  obtusirostris Sazonov and Iwamoto, 1992"
"Ventrifossa  teres Sazonov and Iwamoto, 1992"
"Verruca  scrippsae Zullo, 1964"
"Xanthodaphne  tropica Sysoev and Ivanov, 1985"
"Zenion  hololepis (Goode and Bean, 1896)"
"Zenopsis  oblongus Parin, 1989"
Zoroaster sp.
Cancer macrophthalmus
Cyrtomaia smithi
Dardanus brachyops
Dardanus gemmatus
Dromidiopsis dormia
Etmopterus villosus
Fusinus sandvicensis
Lupocyclus quinquedentatus
Macropipus corrugatus
Munida sp.
Nassarius crematus
"Panulirus marginatus (Quoy and Gaimard, 1825)"
Parapagurus dofleini
Parribacus antarcticus
Parthenope contrarius
Parthenope nummiferus
Penaeid sp.
Progeryon sp.
"Scyllarides haanii (de Haan, 1841)"
"Scyllarides squammosus (H. Milne Edwards, 1837)"
Squillid sp.
Xenophora sp.
"Heterocarpus ensifer A. Milne Edwards, 1881"
Munidopsis sp. 2
Lebbeus sp. 2
Uroptychus sp. 2
Ophioscolex sp.
Ophiura sp.
"Ophiomusium lymani W. Thomson, 1873"
Ophiacantha sp. 2
Ophiomitrella sp. 1
Ophiomitrella sp. 2
Amphioplus sp.
Squalus blainvillei Risso
Gymnothorax berndti
Gymnothorax steindachneri
"Ariosoma marginatum (Vaillant and Sauvage, 1875)"
Conger oligoporus
Congrina aequoria
"Argyropelecus aculeatus Valenciennes, 1850"
Lophiomus miacanthus Gilbert
"Chaunax umbrinus Gilbert, 1905"
Polymixia japonica Steindachner
Beryx decadactylus
Holocentrinae sp.
Sargocentron xantherythrum
Zenopsis  nebulosa (Temminck and Schlegel)
Antigonia eos
Antigonia steindachneri
Velifer  multispinosus Smith
"Fistularia petimba Lacepede, 1803"
Anthias thompsoni
"Epinephelus quernus Seale, 1901"
"Plectranthias kelloggi (Jordan and Evermann, 1903)"
Cookeolus boops
"Epigonus fragilis (Jordan and Jordan, 1922)"
"Decapterus macarellus (Cuvier, 1833)"
"Pseudocaranx dentex (Bloch and Schneider, 1801)"
"Seriola dumerili (Risso, 1810)"
"Coryphaena hippurus Linnaeus, 1758"
Bramidae sp.
Aphareus sp.
"Etelis carbunculus Cuvier, 1828"
"Etelis coruscans Valenciennes, 1862"
"Lutjanus kasmira (Forsskal, 1775)"
"Pristipomoides sieboldii (Bleeker, 1854-57)"
Mulloides flaviolineatus
Mulloides vanicolensis
"Parupeneus multifasciatus (Quoy and Gaimard, 1824)"
"Chaetodon fremblii Bennett, 1828"
"Chaetodon miliaris Quoy and Gaimard, 1825"
"Chromis struhsakeri Randall and Swerdloff, 1973"
Cheilodactylus vittatus
Coris sp.
Xyrichtys  baldwini
Chrionema chryseres
Synchiropus altivelis
"Katsuwonus pelamis (Linnaeus, 1758)"
"Thunnus  albacares (Bonnaterre, 1788)"
"Thunnus  obesus (Lowe, 1839)"
Hyperoglyphe japonica
Dendrochirus barberi
"Pontinus macrocephalus (Sauvage, 1882)"
"Chascanopsetta prorigera Gilbert, 1905"
"Parabothus coarctatus (Gilbert, 1905)"
"Hollardia goslinei Tyler, 1968"
Alutera scripta
Pseudomonacanthus garretti
Lactoria fornasini
Canthigaster sp.
Torquigener  randalli
"Pontophilus gracilis juncaeusBate, 1888"
Munida gordoae
Munida guttata
Munida javieri
Munida leagora
Munida militaris
Munida moliae
Munida notata
Munida psamathe
Munida psylla
Munida pygmaea
Munida rhodonia
Munida rogeri
Munida rosula
Munida rubrodigitalis
Munida rufiantennulata
Munida spilota
Munida stia
Munida stigmatica
Munida taenia
Munida thoe
Munida tuberculata
Munida zebra
Myctophum spinosum
Nassarius himeroessa
Nassarius vidalensis
Nectocarcinus caledonicus
Nematocarcinus alisae
Neoancistrocrania norfolki
Neobythites neocaledoniensis
Neobythites zonatus
Neomerinthe procurva
Neomerinthe rotunda
Neopelta plinthosellina
Neoscopelus microchir
Neosiphonia superstes
Neostylodactylus affinis
Notoplites scutatus
Notopogon lilliei
Achelia assimilis
Aciculites oxytylota
Aciculites papillata
Aegaeon rathbuni
Agelas dendromorpha
Agelas novaecaledoniae
Agononida incerta
Agononida laurentae
Agononida ocyrhoe
Agononida sabatesae
Agononida sphecia
Alainius crosnieri
Alainodaeus rimatara
Alcithoe aillaudorum
"Alopias superciliosus (Lowe, 1841)"
Altiverruca cristallina
Amalda hilgendorfi richeri
Amalda montrouzieri
Anaderma rancureli
Ancistrobasis monodon
Antigonia capros
Antigonia malayana
"Antigonia rubescens (Gunther, 1860)"
Antrocarcinus petrosus
Argyripnus iridescens
Argyropelecus olfersi
"Argyropelecus sladeni Regan, 1908"
Arnoglossus septemventralis
Arothron firmamentum
Ascorhynchus cactoides
Astoleiosalpinx pedunculata
Aulaxinia clavata
Aulopus japonicus
Austrodecus tuberculatum
Banjos banjos
Bathoxiphus inexpectatus
"Bathyclupea malayana Weber., 1913"
Bembradium furici
Bembradium roseum
"Bembrops filifera Gilbert, 1905"
Benthodesmus elongatus
Beryx splendens
Bitias brevis
Brochiverruca polystriata
Bryopastor pentagonus
Buffonellaria erecta
Bugulella gracilis
Bursa fijiensis
Bursa latitudo
Bursa quirihorai
Caelorinchus cylindricus
Caelorinchus hexafasciatus
Calliobasis festiva
Calliostoma boucheti
Calliostoma cristatum
Calliostoma houbricki
Calliostoma metivieri
Calliostoma peregrinum
Calliostoma periglyptum
Callipelta punctata
Calocarcinus africanus
Cancellopollia gracilis
Canthigaster callisterna
Celleporaria macrodon
Centroberyx affinis
Centroberyx druzhinini
Centrodraco otohime
"Centrophorus moluccensis Bleeker, 1860"
Characella flexibilis
Charonia lampas
"Chauliodus sloani Bloch and Schneider, 1801"
Chaunax abei
"Chaunax fimbriatus Hilgendorf, 1879"
Chaunax tosaensis
Chelidoperca lecromi
Chelidozoum binarium
Chelidozoum quinarium
Chicoreus subpalmatus
"Chimaera phantasma Jordan and Snyder, 1900"
Chionelasmus crosnieri
Chionelasmus darwini
"Chlorophthalmus albatrossis Jordan and Starks, 1904"
Ciliopagurus alcocki
Ciliopagurus krempfi
Cilunculus achelioides
Cilunculus compactus
Cilunculus frontosus
Cnemidocarpa valborg
Coloconger scholesi
Colossendeis pipetta
Colossendeis sinuosa
Compressidentalium sedecimcostatum
Conus alisi
Conus aphrodite
Conus boucheti
Conus bruuni
Conus capitanellus
Conus comatosa
Conus gondwanensis
Conus howelli
Conus ione
