ORIGINAL_NAME
Conus kanakinus
Conus luciae
Conus orbignyi coriolisi
Conus plinthis
Conus profundorum
Conus smirna
Conus vaubani
Cookeolus japonicus
Corallistes fulvodesmus
Corallistes microstylifer
Corallistes multituberculatus
Corallistes undulatus
Cranosina coronata
Craspedochiton hystricosus
Crateropora stiliformis
Crosnierita urizae
Cryptopecten bullatus
Cymatium exaratum
Cymatium tenuiliratum
Cypraeopsis superstes
Cyrtomaia coriolisi
Cyrtomaia cornuta
Cyrtomaia ericina
Cyrtomaia furici
Cyrtomaia griffini
Cyrtomaia horrida
Cyrtomaia ihlei
Cyrtomaia platypes
Cytharomorula danigoi
Cytharomorula grayi
Cytharomorula vexillum
Cyttomimus stelgis
"Cyttopsis roseus Goode and Bean, 1896"
Dagnaudus petterdi
"Dalatias licha (Bonnaterre, 1788)"
Delectopecten musorstomi
Dentalium flavum
Dentalium oryx
Dermomurex wareni
Diacanthurus ecphyma
Diaphus bertelseni
Diaphus coeruleus
Diaphus termophilus
Diazona textura
Dictyocladium biseriale
Diplonotos confragus
Diplonotos serratus
Discodermia proliferans
Distorsio anus
Distorsio euconstricta
Distorsio habei
Dromia wilsoni
"Dynomene pilumnoides Alcock, 1900"
Dynomene tanensis
Elassopodus stellatus
Emmelichthys taeniatus
Eohemithyris grayi
Epigodromia nodosa
Etmopterus molleri
Euchirograpsus timorensis
"Euclichthys polynemus McCulloch, 1926"
Eugonatonotus chacei
Eumunida annulosa
Eumunida capillata
Eumunida minor
Eumunida parva
Eumunida sternomaculata
Eurylasma ferulum
Eurylasma pyramidale
Eutomolasma maclaughlinae
"Evistias acutirostris (Temminck and Schlegel, 1844)"
Fallax neocaledonensis
"Frenulina sanguinolenta Gmelin, 1792"
Gadella brocca
Gadella norops
Gaillardiellus bathus
Galeopsis mimicus
Galeopsis pentagonus
Gemellipora eburnea
Geminella ceramensis
Gemmuloborsonia neocaledonica
Geodia vaubani
Gephyroberyx darwinii
Glyptocarcinus politus
Gollum attenuatum
Gonaxia crassicaulis
Gonaxia crusgalli
Gonaxia scalariformis
Gonaxia sinuosa
"Gonostoma elongatum Gunther, 1878"
Grammicolepis brachiuculus
Grypacheus hyalinus
Gymnothorax punctatofasciatus
Gyrineum lacunatum
Gyrineum longicaudatum
Halgerda azteca
Halgerda fibra
Halgyrineum louisae
Halimochirurgus alcocki
Haloceras exquisita
Haplomacrourus nudirostris
Harpago dissidens
Haustellum dentifer coriolis
Hemismittoidea ennea
Herengeria auriculata
Heterocarpus ensifer
Heterocarpus laevigatus
Heterocarpus parvispina
Heteronida aspinirostris
Hexelasma aureolum
Hexelasma sandaracum
Holothuria integra
Homola coriolisi
"Homola orientalis Henderson, 1888"
Homola ranunculus
Hoplakithara exoclavata
Hoplichthys citrinus
Hoplichthys gilberti
Hoplichthys regani
Hoplosthethus mediterraneus
Hymenocephalus gracilis
Hymenocephalus longibarbis
Hyperoglyphe antarctica
Ibacus brucei
Ichnopus malpatun
Idiacanthus fasciola
Idiolychnus urolampus
Ihlopsis tirardi
Iodictyum trochus
Isactinernus flavus
Jereicopsis graphidophora
Kentrocapros flavofasciatus
Klugerella musica
Krangalangia orstom
Kumba punctulata
Laemonema filodorsale
Laemonema palauense
Lamourouxia canaliculata
Lampanyctus festivus
Latreillopsis antennata
Latreillopsis gracilipes
Leiogalathea laevirostris
Leiosalpinx australis
Leptoclinides dubius
Leptotrophon biocalae
Leptotrophon caledonicus
Leptotrophon levii
Lophogaster neocaledonensis
Loricella profundior
Louea moreti
Lucigadus microlepis
Macandrewia spinifoliata
Macrocamera erecta
Macrorhamphosodes uradoi
Macrorhamphosus scolopax
Malacocephalus laevis
Malthopsis annulifera
"Malthopsis tiarella Jordan, 1902"
Mathilda fusca
Mathilda maoria
Mathildella maxima
Mawatarius secundus
Meiocardia hawaiana
Meractea multidentata
Metapenaeopsis velutina
Metaverruca recta
Microcanthus strigatus
Microcosmus longicloa
Microporella lineata
Microscleroderma herdmani
Microscleroderma stoneae
Miersiella haswelli
Mora moro
Morum bruuni
Mosaicoporina uniserialis
Munida acantha
Munida alonsoi
Munida armilla
Munida barangei
Munida callista
Munida clinata
Munida congesta
Munida distiza
Munida eclepsis
Munida gilii
Notopogon xenosoma
Odontaspis ferox
Oppiphorina epaxia
Ostichthys kaianus
Ostracion cubicus
Ostracoberyx dorygenys
Oxypleurodon mammatus
Oxypleurodon orbiculatus
Oxypleurodon stuckiae
Pakermavella minuta
Palaemonella dolichodactylus
Palatigum trichostoma
Palinustus unicornutus
Pallenopsis angusta
Paradynomene tuberculata
Paralophogaster foresti
Paramedaeus globosus
Paramunida granulata
Paramunida pictura
Paramunida pronoe
Paramunida stichas
Paramunida thalie
Parapercis binivirgata
Parapristipomoides squamimaxillaris
Parasmittina erecta
Parastylodactylus tranterae
Paratriacanthodes retrospinis
Paraxanthodes cumatodes
Parazen pacificus
Paromola bathyalis
Parvamussium scitulum
Parvamussium torresi
Pentaceros decacanthus
Pentacheles laevis
Periclimenes brevirostris
Periclimenes laccadivensis
Periclimenes pectinipes
Periclimenes vaubani
Perissogorgia penna
Perotrochus africanus
Personopsis purpurata
Petalostegus harmeri
Petalostegus pseudospinosus
Petalostegus scopulus
Petalostegus spinosus
Pheronema conicum
Pheronema semiglobosum
Phoxichilidium tuberculatum
Phronima sedentaria
Phylladiorhynchus integrirostris
Physiculus luminosa
Physiculus therosideros
Platepistoma nanum
Platymaia fimbriata
Platymaia rebierei
Plectrogenium nanum
Pleistacantha japonica
Pleroma menoui
Pleroma turbinatum
Plesionika echinicola
Plesionika laurentae
Plesionika serratifrons
Polyipnus aquavitus
Polyipnus kiwiensis
Polyipnus tridentifer
Polymetme corythaeola
"Polymixia berndti Gilbert, 1905"
Pontinus tentacularis
Porcellanopagurus tridentatus
Priacanthus macracanthus
Pristigenys niphonia
Pristipomoides argyrogrammicus
Pristipomoides multidens
Prometichthys prometheus
Promicroa dubitata
Propeamussium meridionale
Pseudopalicus declivis
Pseudopalicus glaber
Pseudopalicus oahuensis
Pseudopandalus curvirostris
"Pseudopentaceros richardsoni (Smith, 1844)"
Pseudothyracella candelaber
Pterygotrigla picta
Pterygotrigla robertsi
Pterynotus crauroptera
Puellina harmeri
Puerulus angulatus
Pyura albanyensis
Pyura columna
Pyura pennata
Rata chalcal
Raxifabia vafra
Reidispongia coerulea
Rexea antefurcata
Rexea prometheoides
Richbunea gracilis
Rissoina boucheti
Roscodopa parva
Rostratoverruca intexta
Sassia remensa
Satyrichthys quadratorostratus
Scleritoderma camusi
Scorpaena neglecta
Scorpaenopsis oxycephala
Semidendrobeania palida
Sertularella areyi
Sertularella helenae
Sertularella quadridens cornuta
Sertularella sinensis
Setarches guentheri
Setarches longimanus
Siphonochelus boucheti
Siphonochelus saltantis
Smittina asymmetrica
Solitariopagurus triprobolus
Sphaerodromia lamellata
Sphinctrella orthotriaena
"Sphoeroides pachygaster (Muller and Troschel, 1848)"
Splendrillia houbricki
Splendrillia problematica
Spongosorites bubaroides
Squalus megalops
Squalus melanurus
Stenosarina crosnieri
Strigopagurus boreonotus
Striodentalium kanakorum
Strongylopora gracilis
Stylodactyloides crosnieri
Stylodactylus laurentae
Stylodactylus libratus
Stylodactylus tokarensis
Symplectoscyphus commensalis
Symplectoscyphus effusus
Symplectoscyphus johnstoni tropicus
Symplectoscyphus ralphae
Synagrops japonicus
Synagrops philippinensis
Synchiropus novaecaledoniae
Synchiropus ocellatus
Synchiropus papilio
Syringotrema  calobi
Tegulaplax  pulchra
Terebratulina  pacifica
Terebratulina  reevei
Terminocella  perlucens
Tethya  levii
Thalamita  spinifera
Thamnaconus  hypargyreus
Thamnaconus  modestoides
Thamnaconus  tessellatus
Thecidellina  maxilla
Thysanodonta  eucosmia
Thysanodonta  festiva
Tiaramedon  spinosum
Trachipterus  trachypterus
Triacanthodes  ethiops
Triacanthodes  intermedius
Triodon  macropterus
Trizocheles  spinosus bathamae
Tuba  valkyrie
Typhis  imperialis
Ventrifossa  nigrodorsalis
Xenolepidichthys  dalgleishi
Yrbozoon  ringens
Zenion  leptolepis
Zenion  longipinnis
Zenopsis  nebulosus Schlegel
"Caranx ignobilis (Forsskal, 1775)"
"Caranx cheilio Snyder, 1904"
Pseudanthias sp.
Etmopterus sp.
Grimatroctes danae
"Barbourisia rufa Parr, 1945"
Uroconger  vicinis Vaillant
Serrivomeridae sp.
"Xyelacyba  myersi Cohen, 1961"
Macrouridae spp.
Halosauropsis sp.
"Alepisaurus borealis (Gill, 1862)"
Eurypharyngidae sp.
"Synaphobranchus kaupii Johnson, 1862"
Nemichthyidae sp.
"Nemichthys scolopaceus Richardson, 1848"
Melamphasidae spp.
Trachipterus  iris (Walbaum)
Kali sp.
Brotulidae spp.
"Ectreposebastes imus Garman, 1899"
Halargyreus sp.
Lophiiformes sp.
Alepocephalidae spp.
Gonostomatidae sp.
Yarella sp.
Ichthyococcus sp.
Polyipnus sp.
Argyropelecus sp.
Stomiatidae sp.
Idiacanthidae sp.
Melanostomias spp.
"Photonectes albipinnis Doderlein, 1882"
Leptostomias sp.
Myctophiformes sp.
Malacosteidae sp.
Paralepididae sp.
Myctophidae sp.
Sternoptychidae sp.
Chauliodontidae sp.
Astronesthidae sp.
Melanostomiatidae spp.
Chlorophthalmidae sp.
Caulolepidae sp.
"Decapterus russelli (Ruppell, 1830)"
Neopercis sp.
"Helicolenus avius Abe and Eschmeyer, 1972"
Ocycrius japonicus (Doderlein)
Congridae spp.
Pentaceros richardsoni (Smith)
Serraninae spp.
Emmelichthyidae sp.
Lepidopidae sp.
Epinephelinae sp.
Carcharhinus sp.
Fistularia villosa Klunzinger
Seriola aureovittata Schlegel
"Ariomma lurida Jordan and Snyder, 1904"
Upeneus sp.
Priacanthus boops (Schneider)
Caprodon sp.
Bleekeria sp.
Pseudupeneus sp.
Antigonia spp.
Balistidae sp.
Amanses sp.
Lactoria sp.
Canthigaster cinctus Richardson
Tetraodontidae spp.
Brachyura sp.
Chaunax sp.
Decapterus sp.
Carapus sp.
Scorpaenidae sp.
Chrominae sp.
"Paracrangon australis Hanamura, 1983"
"Latreillopsis aff. multispinosa Ihle, 1912"
"Halicarcinus lucasi Richer de Forges, 1993"
"Achaeus curvirostris (A. Milne Edwards, 1873)"
Achaeus sp.
"Macropodia trigonus Richer de Forges, 1993"
"Leptomithrax tuberculatus Whitelegge, 1900"
"Leptomithrax depressus Richer de Forges, 1993"
"Kimbla franklini Richer de Forges, 1993"
Thacanophrys sp.
"Pugettia tasmanensis Richer de Forges, 1993"
"Pasiphaea gelasinus Hayashi, 1998"
Thysanopoda  orientalis
Thysanopoda  monacantha
Thysanopoda  obtusifrons
Euphausia similis
Thysanopoda  tricuspidata
Nematobrachion boopis
"Hydrolagus purpurescens (Gilbert, 1905)"
"Synaphobranchus brevidorsalis Gunther, 1887"
"Nettastoma parviceps Gunther, 1877"
"Hime japonica (Gunther, 1877)"
"Coryphaenoides longicirrhus (Gilbert, 1905)"
"Antimora microlepis Bean, 1890"
"Lophiodes miacanthus (Gilbert, 1905)"
"Sladenia remiger Smith and Radcliffe, 1912"
"Satyrichthys engyceros (Gunther, 1872)"
Owstonia sp.
"Bodianus cylindriatus (Tanaka, 1930)"
"Pycnocraspedum armatum Gosline, 1954"
"Gadomus melanopterus Gilbert, 1905"
Ventrifossa sp. 1
Beania sp.
Cornucopina bella aviculata
Dendrobeania pseudexilis
Amastigia sp.
Euoplozoum cirratum
Membranipora aff. limosa
Caberea sp.
Notoplites sp.
Himantozoum gemellum
"Jasus tristani Holthuis, 1963"
"Gennadas gilchristi Calman, 1925"
"Homola barbata (Fabricius, 1793)"
"Macropodia formosa Rathbun, 1911"
Platypodia granulosa Ruppell
Alpheus waltervadi Kensley
"Foetorepus kanmuensis Nakabo, Yamamoto and Chen, 1983"
"Sphenocarcinus lowryi Richer de Forges, 1992"
Squalus fernandinus
Pseudanthias kelloggi (Jordan and Evermann)
Squalus sp.
Thysanopoda  pectinata
Euphausia gibba
Narella sp.
Callogorgia sp.
Chrysogorgia sp.
Isididae sp.
Parapercis multifasciata
Neoscombrops pacificus
Synodus sp.
Ophiarachnella sp.
"Caprodon unicolor Katayama, 1974"
"Sebastes iracundus (Jordan and Starks, 1904)"
"Helicolenus fedorovi Barsukov, 1973"
Helicolenus sp.
"Hozukius guyotensis Barsukov and Fedorov, 1975"
"Adelosebastes latens Eschmeyer, Abe and Nakano, 1979"
"Lepidopus calcar Parin and Mikhailin, 1982"
"Lepidion inosimae (Gunther, 1887)"
"Lepidion schmidti Svetovidov, 1936"
"Chimaera owstoni Tanaka, 1905"
"Nansenia ardesiaca Jordan and Thompson, 1914"
Astronesthes ijiami Tanaka
Lotella sp.
Coelorhynchus sp.
Gephyroberyx japonicus (Doderlein 1883)
Chaunax fimbriatus Gilbert
"Microstomus pacificus (Lockington, 1879)"
Calliurichthys calanroponus Richardson
Lepidopus lex Phillipps
"Benthodesmus tenuis (Gunther, 1877)"
Quinquarius japonicus (Steindachner and Doderlein)
Hyperoglyphe japonicus (Doderlen)
Scomber japonicus
Pentaceros richardsoni
Decapterus russellii
Coris spp.
Congridae sp.
Melamphasidae sp.
Serraninae sp.
Apristurus spongiceps
Chauliodus sloani Schneider
Bathypterois atricolor
"Anoplogaster cornuta (Valenciennes, 1833)"
Cornucopina bella
Synaphobranchus cf. kaupi Johnson
"Acanthurus olivaceus Bloch and Schneider, 1801"
"Antigonia eos Gilbert, 1905"
"Cyttopsis rosea (Lowe, 1843)"
"Emmelichthys struhsakeri Heemstra and Randall, 1977"
"Haplomacrourus nudirostris Trunov, 1980"
"Hyperoglyphe japonica (Doderlein, 1884)"
Beryx dacadactylus Cuvier and Valenciennes
Beryx splendens Lows
"Zenopsis  nebulosus (Temminck and Schlegel, 1845)"
Dalatias licha (Bonnaerre)
Chauliodus sloani Block and Schneidar
Malthopsis tiarelle Jordan
Parabothus coarctotus (Gilbert)
Helicolenus arius Abe and Eschmeyer
Argyropelecus aculeatus
Conger sp.
Promethichthys prometheus
Zenopsis  nebulosus
Polymixia nobilis
Polymixia japonica
Isistius brasiliensis
Parabothus coarctatus
Lophiomus miacanthus
Physiculus grinnelli
Gymnothorax nudivomer
"Marukawichthys pacificus Yabe, 1983"
Gephroberyx japonicus
Diretmus argenteus
Zenopsis  nebulosa
Psenopsis anomala
Epigonus atherinoides
Sebastes flammeus
Podonema longipes
Helicolenus avius
Lophiodes miacanthus
Chimaera owstoni
Hozukius guyotensis
Adelosebastes latens
Lepidion inosimae
Lepidion schmidti
Plectranthias kelloggi
Neopercis roseoviridis
Ruvettus pretiosus
Myctophum nitidulum
Helicolenus fedorovi
Laemonema rhodochir
Prionace glauca
Erilepis zonifer
Decapterus tabl
Cookeola boops
Polymixia berndti
Fistularia villosa
Velifer  multispinosus
Pseudocaranx dentex
Seriola aureovittata
Chaetodon miliaris
Chaetodon fremblii
Canthigaster cinctus
Pristipomoides filamentosus
Caranx delicatissimus
Naso unicornis
Priacanthus meeki
Caprodon schlegelii
Ariosoma marginatum
Etelis carbunculus
Epinephelus quernus
Seriola dumerili
Gymnothorax undulatus
Caranx ignoblis
Pristipomoides zonatus
Pristipomoides sieboldii
Etelis coruscans
Pontinus macrocephalus
Sphoeroides cutaneus
Bodianus vulpinus
Physiculus grinelli
"Chlorophthalmus proridens Gilbert and Cramer, 1897"
"Notopogon fernandezianus (Delfin, 1899)"
"Notopogon xenosoma Regan, 1914"
"Pentaceros japonicus Doderlein, 1883"
"Pseudopentaceros wheeleri Hardy, 1983"
"Scorpaena colorata (Gilbert, 1905)"
"Xenolepidichthys  dalgleishi Gilchrist, 1922"
"Chlamydoselachus anguineus Garman, 1884"
Odontaspis owstoni Garman
"Diretmus argenteus Johnson, 1864"
"Neocyttus rhomboidalis Gilchrist, 1906"
Apristurus sp.
Centroscymnus sp.
"Centroscyllium ritteri Jordan and Fowler, 1903"
Somniosus pacificus Bigelow and Schroeder
Chimaera sp.
"Alepocephalus tenebrosus Gilbert, 1892"
"Talismania  antillarum (Goode and Bean, 1896)"
"Bajacalifornia megalops (Lutken, 1898)"
Holtbyrnia kulikovi Fedorov and Sazonov
"Maulisia argipalla Matsui and Rosenblatt, 1979"
"Polyipnus matsubarai Schultz, 1961"
Chlorophthalmus filamentosus Okamura
"Rondeletia loricata Abe and Hotta, 1963"
"Rhynchocymba nystromi nystromi(Jordan and Snyder, 1901)"
Congrellus aequoreus (Gilbert and Cramer)
Physiculus japonicus Hilgendorf
Coelorinchus sp.
Coryphaenoides pectoralis (Gilbert)
"Coryphaenoides longifilis Gunther, 1877"
"Coryphaenoides cinereus (Gilbert, 1896)"
"Coryphaenoides acrolepis (Bean, 1884)"
Malacocephalus sp.
"Hoplostethus crassispinus Kotlyar, 1980"
"Allocyttus verrucosus (Gilchrist, 1906)"
"Anthias rubromaculatus Borets, 1982"
Cookeolus boops (Schneider)
"Epigonus occidentalis Goode and Bean, 1896"
"Epigonus denticulatus Dieuzeide, 1950"
"Decapterus maruadsi (Temminck and Schlegel, 1844)"
Decapterus pinnulatus (Eudoux and Souleyet)
Neopercis roseoviridis Gilbert
Synchiropus sp.
Adelosebastes latens Abe and Nakabo
Sathyrhichthys engyceros (Gunther)
"Marukawichthys ambulator Sakamoto, 1931"
"Microstomus shuntovi Borets, 1983"
"Icosteus aenigmaticus Lockington, 1880"
Spaeroides cutaneus (Gunther)
Setarches guntheri Johnson
"Bathygadus cottoides Günther, 1878"
"Foetorepus kinmeiensis Nakabo, Yamamoto and Chen, 1983"
"Laemonema yarrellii (Lowe, 1838)"
Cyttopsis roseus
"Malacocephalus boretzi Sazonov, 1985"
"Nettenchelys erroriensis Karmovskaya, 1994"
Squalus blainvillei
Bodianus oxycephalus
Polypus sp.
Scyllarides squammosus
Dardanus spp.
Calappa sp.
Gymnothorax sp.
Ariosoma bowersi
Conger wilsoni
Congrellus aequoreus
Coris ballieui
"Sphagemacrurus pumiliceps (Alcock, 1894)"
Astropectinidae sp.
Echinometridae sp.
Muraenidae sp.
Moridae sp.
Sebastes iracundus iracundus(Jordan and Starks)
"Venefica  proboscidea (Vaillant, 1888)"
Caranx ignobilis
Squalus fernandinus Melina
Aldrovandia spp.
Coelorhinchus sp.
Trachurus  symmetricus murphyiNichols
Zenion sp.
Neocyttus sp.
"Emmelichthys nitidus cyanescens(Guichenot, 1848)"
Arnoglossus multirostris Parin
"Acantholabrus palloni (Risso, 1810)"
Seriola lalandei
"Macroramphosus scolopax (Linnaeus, 1758)"
Callionymoidei sp.
"Physiculus dalwigki Kaup, 1858"
"Glossanodon leioglossus (Valenciennes, 1848)"
Anthias anthias
Arnoglossus rueppelli
Aulopus filamentosus
Callanthias ruber
Capros aper
Centrodraco acanthopoma
Chaunax pictus
Chlorophthalmus agassizii
Cyttopsis rosea
Echiodon dentatus
Gadella maraldi
Glossanodon leioglossus
Gnathophis codoniphorus
Gnathophis mystax
Grammicolepis brachiusculus
Heptranchias perlo
Laemonema yarrellii
Lepidopus caudatus
Macroramphosus scolopax
Phycis phycis
Physiculus dalwigki
Polymetme corythaelo
Pontinus kuhlii
Protogrammus sousai
Raja maderensis
Scorpaena loppei
Synchiropus phaeton
Torpedo  nobiliana
Trachurus  picturatus
Zenopsis  conchifer
"Schedophilus velaini (Sauvage, 1879)"
Gymnothorax flavimarginatus
Gymnothorax hepaticus
Brotula multibarbata
Pyramodon ventralis
Pervagor spilosoma
Sufflamen fraenatus
Xanthichthys  mento
Canthigaster coronata
Canthigaster epilampra
Canthigaster rivulata
Lagocephalus lagocephalus
Diodon holocanthus
Diodon hystrix
Aulostomus chinensis
Fistularia commersoni
Apogon maculiferus
Carangoides orthogrammus
Caranx lugubris
Pseudopringsheimia apiculata
Desmarestia viridis
Ectocarpus corticulatus?
Antithamnion kylnii
Aphareus furca
"Aprion virescens Cuvier and Valenciennes, 1830"
Pristipomoides auricilla
Parupeneus chrysonemus
